"manufacturer","model","year","price","odometer","condition","type","size","paint_color","fuel","transmission","cylinders"
"honda","civic",2017,17982,35460,NA,"sedan",NA,"black","gas","automatic","4 cylinders"
"infiniti","qx60",2020,34999,18419,NA,"SUV",NA,"black","gas","manual","6 cylinders"
"nissan","sentra",2019,12999,20308,NA,"sedan",NA,NA,"other","automatic",NA
"mazda","cx-5",2017,23995,18128,NA,NA,NA,NA,"gas","automatic",NA
"chevrolet","malibu",2002,2950,0,NA,"sedan",NA,"silver","gas","automatic","6 cylinders"
"toyota","camry",2010,6995,174000,"excellent","sedan",NA,"red","gas","automatic",NA
"ford","escape 4d sport utility",2005,2300,202000,"good","truck","mid-size","green","gas","automatic","6 cylinders"
"dodge","charger",2013,0,81256,NA,"sedan","full-size","black","gas","automatic","8 cylinders"
"dodge","grand caravan",2019,29900,34883,NA,"van",NA,NA,"gas","automatic","6 cylinders"
"chevrolet","impala",2004,3500,94701,"good","sedan","full-size","silver","gas","automatic","6 cylinders"
"honda","accord",1999,4950,123416,"excellent","coupe",NA,"black","gas","automatic",NA
"nissan","titan",2004,9950,105476,NA,NA,NA,"green","other","automatic",NA
"chevrolet","spark 2lt cvt",2014,7990,72968,NA,"hatchback",NA,"blue","gas","automatic","4 cylinders"
NA,"Porsche 911 Carrera",2010,50995,33500,"excellent","coupe","compact","grey","gas","manual","6 cylinders"
"acura","rdx awd",2007,5950,172029,"excellent","SUV",NA,"grey","gas","automatic","4 cylinders"
"nissan","altima 2.5 s",2008,4999,163000,"good","sedan","full-size","black","gas","automatic","4 cylinders"
"jeep","wrangler unlimi",2015,26999,61895,"excellent","SUV",NA,"orange","gas","automatic","6 cylinders"
"ford","mustang",2008,13500,68053,"excellent","coupe",NA,"white","gas","manual",NA
"jeep","liberty limited 4wd",2010,7995,105000,"excellent","wagon","mid-size","silver","gas","automatic","6 cylinders"
"subaru","impreza sport",2019,15950,27000,"excellent","SUV",NA,"black","gas","automatic","4 cylinders"
"honda","cr-v",2011,10991,99741,NA,"SUV","mid-size","silver","gas","automatic","4 cylinders"
"mercedes-benz","benz clk 320",2005,9450,70200,"excellent","convertible",NA,"black","gas","automatic","6 cylinders"
"bmw","x5",2014,0,80194,NA,"SUV",NA,"grey","gas","automatic","6 cylinders"
"bmw","i3 94ah w/range extender",2017,19488,38589,NA,"hatchback",NA,NA,"electric","automatic",NA
"chevrolet","malibu classic",2004,650,153995,"good",NA,"mid-size","silver","gas","automatic","4 cylinders"
"chevrolet","corvette",2001,21900,52000,"excellent",NA,NA,"black","gas","manual","8 cylinders"
"gmc","savana passenger",2011,15997,74300,NA,"van","full-size","silver","gas","automatic","8 cylinders"
"ford","f150 xlt fx4 4x4 half ton",2018,43999,22804,NA,"truck",NA,"black","gas","automatic",NA
"nissan","xterra 4x4",2006,3995,250527,NA,NA,NA,NA,"gas","automatic","6 cylinders"
NA,"MW 535I",2011,14900,105381,"excellent","sedan",NA,"silver","gas","automatic","6 cylinders"
